timestamp, name, index, utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2025/04/04 16:31:59.062, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:32:59.062, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:33:59.062, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:34:59.062, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:35:59.063, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 16:36:59.063, NVIDIA A10, 0, 88 %, 3351 MiB, 23028 MiB
2025/04/04 16:37:59.063, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:38:59.063, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 16:39:59.064, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:40:59.064, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:41:59.064, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:42:59.064, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:43:59.064, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:44:59.065, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:45:59.065, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:46:59.065, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
2025/04/04 16:47:59.065, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:48:59.065, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:49:59.066, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:50:59.066, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:51:59.066, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:52:59.066, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:53:59.066, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:54:59.067, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:55:59.067, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:56:59.067, NVIDIA A10, 0, 95 %, 3351 MiB, 23028 MiB
2025/04/04 16:57:59.067, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:58:59.067, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 16:59:59.068, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 17:00:59.068, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:01:59.068, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:02:59.068, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:03:59.069, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 17:04:59.069, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:05:59.069, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:06:59.069, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:07:59.070, NVIDIA A10, 0, 95 %, 3351 MiB, 23028 MiB
2025/04/04 17:08:59.070, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:09:59.070, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:10:59.070, NVIDIA A10, 0, 86 %, 3351 MiB, 23028 MiB
2025/04/04 17:11:59.071, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:12:59.071, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:13:59.071, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:14:59.071, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:15:59.072, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:16:59.072, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:17:59.072, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:18:59.072, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:19:59.073, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:20:59.073, NVIDIA A10, 0, 100 %, 3351 MiB, 23028 MiB
2025/04/04 17:21:59.073, NVIDIA A10, 0, 85 %, 3351 MiB, 23028 MiB
